Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) cht1,Coverage (%) cht2,Coverage (%) cht3,Coverage (%) cht4,Coverage (%) cht5,Coverage (%) cht6,Coverage (%) cht7,Coverage (%) cht8,Coverage (%) cht9,Coverage (%) cht10,Coverage (%) el1,Coverage (%) el2,Coverage (%) el3,Coverage (%) el4,Coverage (%) el5,Coverage (%) el6,Coverage (%) el7,Coverage (%) el8,Coverage (%) el9,Coverage (%) el10,Coverage (%) lp1,Coverage (%) lp2,Coverage (%) lp3,Coverage (%) lp4,Coverage (%) lp5,Coverage (%) lp6,Coverage (%) lp7,Coverage (%) lp8,Coverage (%) lp9,Coverage (%) lp10,Coverage (%) trp1,Coverage (%) trp2,Coverage (%) trp3,Coverage (%) trp4,Coverage (%) trp5,Coverage (%) trp6,Coverage (%) trp7,Coverage (%) trp8,Coverage (%) trp9,Coverage (%) trp10,Area cht1,Area cht2,Area cht3,Area cht4,Area cht5,Area cht6,Area cht7,Area cht8,Area cht9,Area cht10,Area el1,Area el2,Area el3,Area el4,Area el5,Area el6,Area el7,Area el8,Area el9,Area el10,Area lp1,Area lp2,Area lp3,Area lp4,Area lp5,Area lp6,Area lp7,Area lp8,Area lp9,Area lp10,Area trp1,Area trp2,Area trp3,Area trp4,Area trp5,Area trp6,Area trp7,Area trp8,Area trp9,Area trp10,#Peptides,#Unique,#Spec cht1,#Spec cht2,#Spec cht3,#Spec cht4,#Spec cht5,#Spec cht6,#Spec cht7,#Spec cht8,#Spec cht9,#Spec cht10,#Spec el1,#Spec el2,#Spec el3,#Spec el4,#Spec el5,#Spec el6,#Spec el7,#Spec el8,#Spec el9,#Spec el10,#Spec lp1,#Spec lp2,#Spec lp3,#Spec lp4,#Spec lp5,#Spec lp6,#Spec lp7,#Spec lp8,#Spec lp9,#Spec lp10,#Spec trp1,#Spec trp2,#Spec trp3,#Spec trp4,#Spec trp5,#Spec trp6,#Spec trp7,#Spec trp8,#Spec trp9,#Spec trp10,PTM,Avg. Mass,Description
85,627,P0CG48|UBC_HUMAN,259.83,12,7,7,10,8,7,9,9,7,9,9,10,10,10,10,10,10,10,10,10,10,10,11,10,11,11,10,11,10,11,10,9,9,9,9,9,9,8,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6096E5,7.676E5,7.3151E5,5.2135E5,5.8305E5,2.4786E5,2.6973E5,8.687E5,7.4139E5,9.771E5,110,1,16,16,17,15,16,17,18,15,20,15,29,35,30,35,34,24,36,33,40,37,44,45,45,48,46,49,45,41,37,24,15,19,21,16,18,12,16,19,17,26,,77039,Polyubiquitin-C OS=Homo sapiens OX=9606 GN=UBC PE=1 SV=3
67,218,A5A3E0|POTEF_HUMAN,259.61,33,9,10,10,9,11,8,9,9,9,10,12,12,11,10,12,14,13,12,17,16,9,8,8,10,8,10,8,9,7,8,7,9,6,7,6,6,6,7,7,7,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,145,1,21,22,27,23,24,22,23,23,24,25,32,32,27,28,31,33,39,28,66,52,26,26,25,24,17,22,20,22,19,23,33,39,38,37,35,31,34,29,39,34,,121444,POTE ankyrin domain family member F OS=Homo sapiens OX=9606 GN=POTEF PE=1 SV=2
116,93,P55072|TERA_HUMAN,259.18,78,16,12,11,21,18,16,21,25,24,17,15,20,17,20,20,25,33,19,40,45,25,24,23,24,24,24,24,11,28,26,33,34,33,36,35,31,32,31,37,35,1.3796E7,1.5554E7,1.4666E7,2.2415E7,2.1893E7,1.9341E7,1.9405E7,2.1988E7,2.5328E7,1.9702E7,8.4518E6,1.1916E7,1.0906E7,1.1202E7,1.2297E7,1.1725E7,5.0714E7,1.25E7,1.8792E8,1.6818E8,3.414E7,2.3707E7,2.4982E7,2.1555E7,2.9501E7,2.2631E7,1.5389E7,1.0698E7,2.3713E7,2.7713E7,3.7549E7,4.4734E7,4.7466E7,4.3873E7,3.8602E7,1.8748E7,2.4585E7,4.8767E7,6.3598E7,6.3756E7,160,148,11,11,10,16,13,14,15,17,16,14,14,19,16,17,19,20,30,17,48,57,25,23,18,18,23,19,19,9,21,20,29,30,31,30,29,25,26,26,34,34,,89322,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4
124,177,P26599|PTBP1_HUMAN,258.04,92,21,24,33,24,44,28,43,30,30,36,19,14,12,17,24,20,27,14,40,38,51,46,41,40,43,46,46,36,44,39,31,24,23,22,23,19,24,21,32,37,1.068E7,8.8148E6,2.02E7,1.9734E7,3.0334E7,2.1732E7,2.021E7,1.9516E7,1.9286E7,1.8895E7,1.1003E7,9.3337E6,1.0187E7,1.2186E7,1.2645E7,1.4667E7,4.0113E7,9.8682E6,1.6363E8,1.3679E8,6.2206E7,5.5446E7,6.1019E7,6.4294E7,6.8939E7,5.7971E7,5.5299E7,3.4473E7,6.1033E7,7.2466E7,2.9403E7,3.9607E7,3.5633E7,2.9429E7,3.1826E7,1.6977E7,1.9315E7,3.4975E7,7.0975E7,7.5209E7,139,116,10,12,21,13,24,14,22,16,14,16,12,9,10,12,13,14,24,10,38,34,42,33,31,32,35,33,33,28,30,28,17,15,15,14,16,12,16,13,18,20,,57221,Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=1
138,504,P60903|S10AA_HUMAN,257.78,82,36,36,43,36,49,40,43,36,43,45,53,66,66,54,66,66,69,53,69,66,55,55,52,52,52,52,55,52,42,55,58,58,78,54,51,55,55,51,58,58,6.0762E7,7.325E7,8.7861E7,7.367E7,9.3334E7,7.6532E7,8.7538E7,8.7704E7,8.7099E7,8.3809E7,8.2061E7,1.0668E8,9.5265E7,1.1399E8,1.3606E8,9.8214E7,1.6825E8,1.1798E8,4.2316E8,4.5595E8,1.4667E8,1.4433E8,1.3944E8,1.3272E8,1.1126E8,9.8581E7,9.5024E7,8.7115E7,1.0747E8,7.5567E7,1.8239E8,2.3566E8,2.5354E8,2.1412E8,2.1033E8,1.2627E8,1.2646E8,2.5654E8,3.1745E8,3.3197E8,69,69,10,11,12,13,13,13,14,12,13,15,17,18,15,19,21,19,23,16,30,30,17,18,16,14,18,15,15,14,15,13,18,18,17,17,15,13,13,17,20,21,,11203,Protein S100-A10 OS=Homo sapiens OX=9606 GN=S100A10 PE=1 SV=2
151,179,P12270|TPR_HUMAN,256.84,61,1,1,3,1,2,1,3,2,2,3,2,3,4,1,1,1,10,3,19,15,8,5,8,8,8,6,4,4,7,9,24,25,22,21,23,16,19,24,28,33,1.9303E5,9.3548E5,1.7369E6,8.0526E5,2.0563E6,8.5153E5,1.6403E6,1.2455E6,1.9316E6,6.7051E6,1.1554E6,2.1939E6,3.419E6,2.6985E5,3.5204E5,5.6403E5,1.2023E7,1.6283E6,5.8088E7,4.5212E7,6.8591E6,3.2306E6,4.9166E6,6.7099E6,8.1124E6,5.2472E6,3.5426E6,2.2306E6,6.9146E6,1.5231E7,2.9889E7,4.0489E7,3.5921E7,2.9573E7,3.1205E7,1.1954E7,1.638E7,4.5131E7,5.2717E7,5.8851E7,179,176,2,2,6,2,5,3,6,4,5,8,5,7,9,2,1,2,19,6,40,30,14,9,13,14,13,10,7,7,14,18,47,52,45,43,46,34,38,47,50,65,,267290,Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3
134,75,P11940|PABP1_HUMAN,256.01,78,10,15,18,16,22,15,19,21,18,20,14,17,16,17,20,19,27,13,45,43,35,29,26,21,25,23,29,33,25,25,37,39,37,39,35,32,36,37,39,40,4.2147E6,6.0331E6,5.952E6,6.1291E6,6.6471E6,5.3522E6,5.2896E6,6.097E6,5.9004E6,5.5361E6,8.8336E6,9.1332E6,8.6721E6,8.9369E6,7.0481E6,9.9679E6,2.2342E7,9.5701E6,1.1163E8,8.0628E7,1.3729E7,5.7686E6,1.095E7,6.9164E6,7.2521E6,5.7189E6,7.7491E6,7.6421E6,6.5125E6,6.447E6,1.0092E7,1.7801E7,1.4634E7,1.2308E7,9.7077E6,6.9853E6,6.1802E6,1.5062E7,2.0332E7,2.2068E7,122,44,6,11,13,11,15,10,12,15,12,12,14,14,12,12,15,17,23,12,37,32,23,16,16,13,14,15,19,19,14,16,28,27,26,26,27,25,26,27,30,32,,70671,Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2
142,61,Q15084|PDIA6_HUMAN,255.17,75,28,35,35,32,35,46,39,45,41,39,27,32,28,28,30,36,33,25,37,42,38,39,45,38,43,41,45,32,43,30,31,31,38,30,42,28,31,31,43,43,1.9751E7,3.1686E7,3.3723E7,3.1758E7,3.4659E7,3.3629E7,3.0433E7,3.707E7,3.7244E7,3.0003E7,3.0901E7,3.2708E7,2.786E7,2.9666E7,3.0967E7,3.164E7,4.1483E7,2.4871E7,1.47E8,1.4997E8,4.2402E7,4.9095E7,5.8597E7,5.3727E7,6.4403E7,4.7942E7,4.6815E7,4.0753E7,6.1054E7,3.7845E7,5.8448E7,8.0935E7,8.218E7,6.7853E7,7.0186E7,4.2836E7,4.55E7,8.3117E7,1.1445E8,1.1835E8,102,102,9,13,11,12,12,15,14,15,16,15,12,12,12,10,15,13,16,10,29,30,20,22,22,20,21,23,23,20,23,14,16,19,20,15,20,16,15,17,19,21,,48121,Protein disulfide-isomerase A6 OS=Homo sapiens OX=9606 GN=PDIA6 PE=1 SV=1
207,66,P16989|YBOX3_HUMAN,254.80,74,13,25,23,28,35,25,18,23,23,23,35,41,43,37,35,35,39,43,33,43,28,23,27,20,20,32,20,17,24,18,37,51,51,37,37,51,51,51,51,51,2.7895E6,4.6456E6,5.2202E6,9.5761E6,1.1635E7,8.1228E6,7.1433E6,1.036E7,1.0126E7,8.2985E6,5.8007E6,1.1144E7,9.9073E6,8.8479E6,4.9775E6,1.053E7,1.2418E7,1.1483E7,2.5399E7,3.7072E7,1.6411E6,1.402E6,2.1782E6,3.5032E5,1.8547E5,3.051E6,1.7712E6,7.3449E5,3.5487E6,6.3858E5,2.7474E7,3.5723E7,3.8459E7,2.8888E7,3.0725E7,1.9001E7,1.9985E7,3.8455E7,4.8586E7,5.8283E7,66,34,4,9,7,5,7,8,7,8,7,8,13,13,13,13,12,10,14,13,17,19,11,7,11,10,10,12,9,8,13,10,15,19,21,17,18,17,18,19,18,23,,40090,Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3 PE=1 SV=4
107,357,P27797|CALR_HUMAN,254.25,73,24,22,25,29,25,21,32,27,25,23,30,32,34,28,26,27,27,33,29,34,41,41,42,41,41,42,39,39,39,22,45,39,30,33,35,37,29,34,35,35,6.5884E7,8.9074E7,8.5893E7,9.2993E7,9.7198E7,9.2E7,8.7641E7,9.3514E7,9.2191E7,8.6791E7,7.0265E7,7.6363E7,7.4946E7,7.5528E7,7.8976E7,8.0711E7,1.0874E8,8.0527E7,3.4318E8,3.983E8,1.5474E8,1.3743E8,1.3971E8,1.5832E8,1.7134E8,1.6432E8,1.468E8,1.5064E8,1.6057E8,1.1683E8,9.4076E7,1.1439E8,1.1438E8,1.0256E8,1.0371E8,5.9825E7,6.8816E7,1.2061E8,1.5357E8,1.346E8,113,113,15,15,13,19,18,15,20,18,19,17,18,19,22,18,18,18,21,21,36,35,32,34,35,34,29,34,32,34,26,23,18,16,12,14,15,14,11,17,15,17,,48142,Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1
179,132,P05023|AT1A1_HUMAN,254.12,56,4,4,4,3,8,4,4,5,8,3,3,2,6,4,0,5,22,5,34,28,17,14,11,13,12,9,14,10,10,18,27,24,23,20,25,19,20,25,22,26,2.5012E6,3.1124E6,3.197E6,3.6295E6,4.1141E6,4.5264E6,2.9008E6,4.8907E6,6.5971E6,3.1438E6,3.2537E5,3.3468E5,4.3519E5,3.5816E5,,2.6449E5,1.5221E7,6.9773E5,9.4946E7,4.0419E7,1.06E7,4.4978E6,4.7564E6,1.2476E7,8.2437E6,5.2877E6,6.4032E6,3.93E6,7.1665E6,2.954E7,3.2058E7,2.9294E7,2.8039E7,2.3675E7,2.3182E7,1.119E7,1.5242E7,3.4162E7,3.3127E7,3.7683E7,135,100,5,7,4,5,7,5,4,5,9,3,3,2,5,4,0,6,31,7,54,37,16,12,10,13,10,10,13,8,10,24,26,26,26,21,27,19,20,29,27,30,,112896,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1
171,39,P52597|HNRPF_HUMAN,253.83,71,18,18,29,18,36,20,25,27,25,25,20,26,23,25,23,29,37,27,48,49,32,20,24,34,30,27,25,27,28,25,29,34,35,34,34,34,34,34,42,44,9.6832E6,1.1444E7,1.6033E7,1.3056E7,1.7314E7,1.2753E7,1.2552E7,1.5064E7,1.3266E7,1.5914E7,6.7965E6,1.3141E7,1.0095E7,9.2256E6,9.9206E6,1.4447E7,2.8584E7,1.4272E7,1.0757E8,1.2347E8,2.363E7,1.1034E7,2.213E7,3.3357E7,2.4728E7,2.2306E7,1.732E7,1.5917E7,2.7979E7,3.4537E7,2.7355E7,3.757E7,3.6461E7,3.0889E7,3.2601E7,1.8199E7,1.8827E7,3.3804E7,5.2971E7,6.2015E7,92,71,9,10,14,11,15,11,11,12,12,13,7,9,9,10,8,12,16,11,32,35,17,11,13,16,15,13,14,13,15,14,12,13,13,13,12,12,11,11,17,18,,45672,Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=HNRNPF PE=1 SV=3
144,231,Q13885|TBB2A_HUMAN,253.13,73,29,34,35,33,33,37,33,35,27,35,25,24,28,26,27,22,37,25,49,45,48,41,35,38,37,28,38,31,32,28,27,35,29,26,29,20,20,23,33,30,,,,,,,,,,,,,,,,,,1.9265E5,,,,,,,,,,,,,,1.5028E6,1.7414E6,6.3552E5,3.4653E5,,,,1.3224E6,1.4457E6,125,2,11,14,12,16,14,15,12,13,12,14,14,16,16,16,17,14,28,17,51,44,31,20,20,18,19,18,19,15,16,13,14,16,15,13,15,11,11,11,18,19,,49907,Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1
144,232,Q9BVA1|TBB2B_HUMAN,253.13,72,29,34,35,33,33,37,33,35,27,35,25,24,28,26,27,22,37,23,49,45,48,41,35,38,37,28,38,31,32,28,27,35,29,26,29,20,20,23,33,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5028E6,1.7414E6,6.3552E5,3.4653E5,,,,1.3224E6,1.4457E6,124,1,11,14,12,16,14,15,12,13,12,14,14,16,16,16,17,14,28,16,51,44,31,20,20,18,19,18,19,15,16,13,14,16,15,13,15,11,11,11,18,19,,49953,Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1
166,219,P13645|K1C10_HUMAN,251.85,69,16,37,15,18,12,9,9,14,23,15,35,7,9,17,55,6,4,19,3,12,3,9,16,7,7,11,9,12,12,8,38,35,34,27,36,23,28,30,28,54,6.2883E6,3.1622E7,8.9563E6,1.1544E7,2.5951E6,0,2.2128E5,2.0542E6,1.1869E7,5.8183E6,1.0255E8,3.4804E6,5.6893E6,1.9256E7,3.6394E8,2.761E6,2.3945E6,2.2974E7,,1.0275E7,,2.9997E6,3.9546E6,1.2576E6,1.0885E6,6.2637E6,4.501E6,3.3961E6,2.4014E6,1.7383E6,7.3208E7,2.5439E7,5.0508E7,1.3109E7,3.4811E7,8.1607E6,1.6979E7,4.3556E7,3.4794E7,5.3897E8,181,142,12,22,11,13,11,9,9,11,14,12,46,5,6,14,97,5,4,15,3,7,2,6,11,5,5,8,7,8,8,6,32,25,28,20,26,18,22,24,24,53,,58827,Keratin  type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6
135,140,P13639|EF2_HUMAN,251.25,73,12,15,15,14,18,11,20,18,18,21,10,9,12,10,9,10,31,12,36,32,30,22,25,26,28,24,22,19,21,23,24,25,24,22,25,19,22,24,28,28,9.707E6,1.2437E7,1.4011E7,1.2771E7,1.6851E7,1.2119E7,1.4268E7,1.5701E7,2.0078E7,1.5041E7,7.4383E6,8.7045E6,1.1257E7,1.1668E7,1.1354E7,8.0962E6,6.519E7,1.2106E7,2.4661E8,1.8543E8,2.4977E7,1.0824E7,1.5848E7,1.6198E7,1.8822E7,1.0619E7,1.2247E7,8.5149E6,1.3839E7,1.623E7,3.0246E7,3.7732E7,3.4642E7,3.063E7,3.0046E7,1.4727E7,1.6847E7,4.1192E7,4.3915E7,5.6505E7,146,145,9,11,11,11,14,9,15,14,14,16,8,9,10,9,8,9,31,12,47,43,26,17,25,25,28,21,21,19,20,21,21,22,22,21,24,18,19,22,23,27,,95338,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4
209,120,P36776|LONM_HUMAN,250.90,67,4,10,4,6,13,8,6,12,11,8,3,4,5,6,8,4,17,4,32,30,13,12,8,12,13,19,15,9,10,11,25,25,27,24,27,26,21,29,38,36,1.638E6,4.4915E6,2.251E6,3.4457E6,6.5998E6,3.3672E6,2.2892E6,6.7396E6,6.8654E6,4.1588E6,1.482E6,2.6964E6,2.3601E6,3.2842E6,3.5823E6,2.0188E6,2.0506E7,2.3336E6,1.3528E8,1.1669E8,1.2847E7,7.7763E6,6.8336E6,1.2538E7,1.0113E7,1.2641E7,8.5265E6,5.0949E6,8.642E6,1.2188E7,2.7794E7,3.5166E7,3.1346E7,3.2729E7,3.2216E7,1.4863E7,1.8663E7,4.0393E7,5.5939E7,5.1938E7,117,117,3,7,3,5,10,6,4,10,10,7,3,4,4,5,6,4,16,5,36,33,14,11,7,12,13,16,14,9,10,11,27,27,28,26,26,21,23,30,37,34,,106489,Lon protease homolog  mitochondrial OS=Homo sapiens OX=9606 GN=LONP1 PE=1 SV=2
158,119,P36578|RL4_HUMAN,250.52,58,19,25,23,20,26,30,28,27,25,23,11,11,19,16,17,13,16,11,24,24,39,39,34,30,28,28,25,30,23,22,30,30,32,32,30,29,30,32,30,32,1.885E7,3.2152E7,3.1427E7,2.6602E7,3.6948E7,4.0452E7,3.2199E7,3.5916E7,3.9599E7,3.2462E7,2.1691E7,1.611E7,2.2743E7,2.2673E7,2.4407E7,2.2942E7,6.0027E7,1.7112E7,1.9491E8,1.4468E8,6.3316E7,3.745E7,5.3128E7,4.1796E7,4.9562E7,3.6761E7,3.3324E7,3.6747E7,3.4189E7,3.2329E7,4.9071E7,7.0489E7,6.132E7,5.5619E7,5.2149E7,3.1481E7,3.2108E7,6.9432E7,8.4615E7,8.6542E7,91,91,9,13,11,11,13,15,15,13,13,13,5,6,8,7,9,5,15,6,20,20,31,22,27,19,22,21,17,19,14,12,24,27,25,28,24,20,20,27,27,27,,47697,60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5
152,201,Q08211|DHX9_HUMAN,250.23,54,12,10,10,9,11,7,11,11,16,16,5,7,6,3,6,4,22,8,33,26,17,13,8,11,11,7,8,7,10,9,20,20,20,20,20,18,19,20,24,21,9.6414E6,1.0396E7,1.2885E7,1.2466E7,1.318E7,9.1779E6,1.1497E7,1.1965E7,2.3118E7,1.2168E7,5.1062E6,6.1345E6,7.322E6,2.796E6,5.9857E6,5.151E6,7.1107E7,9.3291E6,3.2815E8,2.1138E8,2.412E7,7.1543E6,6.3026E6,1.3522E7,1.0769E7,6.039E6,9.0121E6,5.3582E6,1.0113E7,1.7747E7,4.386E7,4.5726E7,4.8337E7,4.2863E7,4.2962E7,1.7643E7,2.2127E7,5.0356E7,5.8668E7,5.3471E7,143,143,14,12,12,13,14,9,15,14,21,15,5,7,7,3,6,5,30,8,57,42,23,15,10,13,13,9,10,10,11,13,29,31,31,30,31,26,23,30,35,31,,140958,ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4
165,172,P55084|ECHB_HUMAN,250.05,72,23,29,35,29,34,35,31,31,37,29,15,16,12,11,15,13,26,23,30,26,45,45,33,32,37,34,32,27,34,23,35,42,38,35,38,31,35,35,42,42,1.1499E7,1.5175E7,2.1263E7,1.9421E7,2.1579E7,2.1192E7,1.9073E7,2.1173E7,2.3057E7,1.7302E7,6.8337E6,8.772E6,7.7382E6,7.6292E6,9.7315E6,7.7424E6,1.6076E7,1.3522E7,4.3815E7,5.1408E7,1.6764E7,1.5567E7,1.3882E7,1.3673E7,1.5061E7,1.2924E7,1.3172E7,8.7431E6,1.6538E7,1.3399E7,3.5122E7,5.2698E7,4.7513E7,4.2241E7,3.9628E7,1.9701E7,2.4701E7,5.3345E7,6.0131E7,6.0811E7,107,107,12,15,18,16,18,21,16,16,20,15,8,9,8,8,9,8,14,15,16,17,24,20,19,16,17,17,16,12,18,14,20,25,22,20,20,13,18,20,20,21,,51294,Trifunctional enzyme subunit beta  mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3
200,114,P13010|XRCC5_HUMAN,249.79,80,15,14,17,21,22,16,23,20,18,18,10,13,5,7,7,11,24,12,45,33,30,22,20,19,17,17,19,13,18,16,24,23,26,25,37,27,25,22,34,30,7.613E6,1.1174E7,1.2242E7,1.6778E7,1.8311E7,1.2679E7,1.3163E7,1.6155E7,1.7664E7,1.3154E7,3.8372E6,5.9058E6,3.84E6,4.2003E6,5.1181E6,6.2377E6,3.5346E7,7.2586E6,1.7007E8,1.1714E8,1.7727E7,9.7326E6,1.1624E7,1.348E7,1.2999E7,1.0206E7,1.1211E7,7.1487E6,1.2186E7,2.0064E7,1.5563E7,2.7754E7,2.7683E7,2.5451E7,2.637E7,1.2269E7,1.1927E7,2.6021E7,4.3337E7,3.4325E7,127,126,9,9,11,14,15,13,14,12,13,12,5,8,4,4,5,6,18,6,42,29,22,16,16,17,15,14,14,10,13,13,21,19,21,19,24,17,18,18,27,22,,82705,X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3
268,241,Q14103|HNRPD_HUMAN,249.41,58,10,15,15,15,13,14,15,15,15,15,23,23,22,15,22,30,23,22,37,39,27,23,13,26,23,18,19,12,25,12,21,26,26,26,25,25,25,26,26,28,2.2782E7,3.0176E7,3.3354E7,3.2258E7,3.4063E7,2.7648E7,2.8813E7,2.7908E7,2.8239E7,3.2498E7,1.8213E7,2.0745E7,2.1297E7,2.1659E7,2.4711E7,2.0116E7,3.5805E7,2.1324E7,9.7883E7,1.1684E8,1.6656E7,1.6848E7,2.3011E7,3.0812E7,2.7636E7,1.9764E7,2.263E7,2.0825E7,3.2643E7,3.0466E7,3.7141E7,4.8877E7,4.6525E7,4.1609E7,4.0666E7,2.2242E7,2.502E7,5.214E7,6.217E7,6.3591E7,65,53,5,5,5,6,6,6,6,4,6,5,12,11,12,8,11,12,12,9,18,16,10,9,9,10,11,11,10,8,13,8,13,14,13,12,11,10,9,11,16,16,,38434,Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1
202,194,P46777|RL5_HUMAN,248.72,83,26,25,21,26,24,22,18,26,35,25,20,23,14,20,15,22,33,26,59,49,31,23,23,36,27,27,31,23,27,32,36,30,33,30,30,26,30,28,33,35,1.2761E7,1.9307E7,1.9791E7,1.9414E7,1.9212E7,1.8154E7,1.7313E7,2.2282E7,2.4871E7,1.7348E7,8.6183E6,1.0021E7,8.8069E6,1.0308E7,7.56E6,7.1322E6,4.1917E7,1.3299E7,1.6832E8,1.2653E8,2.358E7,2.2276E7,2.6412E7,4.336E7,3.8235E7,3.5824E7,3.6354E7,2.4441E7,4.1459E7,6.8564E7,4.3775E7,4.8221E7,4.4784E7,4.1444E7,3.8131E7,2.0956E7,2.2991E7,4.2876E7,4.787E7,6.1768E7,72,72,7,9,8,10,9,7,6,10,12,8,7,7,5,8,5,7,20,8,37,29,11,10,8,14,12,10,11,8,12,15,18,16,18,16,16,15,16,14,17,18,,34363,60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3
245,130,Q96E39|RMXL1_HUMAN,248.71,68,25,29,30,31,27,31,33,38,33,20,14,9,13,8,14,15,14,22,28,32,17,15,22,21,18,32,13,14,17,11,34,34,34,34,40,34,34,39,39,38,,,,,,,,,,,,,,,,,,,,,,,,6.0125E5,,2.2908E6,,,,,2.1429E5,3.0179E5,3.2079E5,2.4679E5,3.2286E5,1.6137E5,,7.0584E5,6.5976E5,5.9342E5,73,7,12,13,15,12,12,15,14,17,15,8,5,4,5,3,6,4,7,7,10,14,9,8,11,9,8,12,7,7,9,7,17,18,18,20,20,15,18,20,19,23,,42142,RNA binding motif protein  X-linked-like-1 OS=Homo sapiens OX=9606 GN=RBMXL1 PE=1 SV=1
198,350,P07099|HYEP_HUMAN,248.40,64,21,24,20,24,26,29,22,25,27,35,14,14,16,11,14,14,18,14,38,33,18,16,14,12,15,12,8,12,14,12,27,26,27,27,28,24,26,28,26,29,1.3539E7,1.744E7,1.6815E7,1.8181E7,1.9395E7,2.191E7,1.6567E7,2.1502E7,2.4574E7,2.0842E7,9.3434E6,1.0877E7,1.2185E7,1.0136E7,1.2194E7,1.2093E7,5.2457E7,1.2811E7,1.7844E8,1.3659E8,1.5949E7,6.7319E6,7.0821E6,6.4241E6,8.8011E6,2.7925E6,3.0043E6,3.5735E6,4.2349E6,6.2257E6,3.8464E7,5.1684E7,4.8704E7,4.2792E7,4.5519E7,2.3785E7,2.6126E7,5.2116E7,6.5361E7,7.9732E7,90,90,12,14,11,14,13,15,13,16,16,17,7,8,9,6,9,8,17,9,31,29,12,8,8,6,9,8,5,6,8,6,20,19,20,19,20,14,14,18,19,24,,52949,Epoxide hydrolase 1 OS=Homo sapiens OX=9606 GN=EPHX1 PE=1 SV=1
119,157,P52272|HNRPM_HUMAN,248.31,85,7,14,17,15,11,18,22,21,27,11,16,19,20,18,22,19,28,15,41,47,17,14,23,22,23,22,22,16,20,15,41,45,42,33,41,41,31,38,38,40,7.8013E6,1.1079E7,1.3312E7,1.324E7,1.322E7,1.338E7,1.7261E7,1.4417E7,1.8134E7,1.1481E7,1.7012E7,1.7917E7,2.0247E7,1.8048E7,1.8644E7,1.9336E7,4.3077E7,1.427E7,1.377E8,1.1214E8,1.2575E7,1.3231E7,3.9543E7,2.4094E7,2.7678E7,1.9699E7,4.12E7,1.7387E7,1.8603E7,2.4751E7,5.8914E7,8.4892E7,7.7036E7,5.8438E7,6.8274E7,3.9227E7,3.2901E7,7.7695E7,9.1619E7,1.0903E8,138,138,5,10,11,11,10,12,16,13,17,9,13,13,15,14,17,14,25,15,43,41,13,13,17,17,21,15,18,15,16,13,31,34,33,28,31,30,25,31,33,31,,77516,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3
